#{"t_start": 1711460808.3404334, "env_id": "None"}
r,l,t
505.0,216,776.32438
507.5,217,776.600024
429.5,323,776.989666
421.0,332,777.488887
459.0,282,777.79776
423.5,331,778.154279
400.5,355,778.546054
514.5,201,778.753389
464.0,272,779.152606
516.0,202,779.389106
554.5,151,779.568615
466.0,272,781.498536
428.5,313,781.873694
480.5,257,782.187339
379.0,400,782.663117
498.0,228,782.929269
502.5,223,783.195373
427.0,322,783.585822
469.0,266,785.44151
535.0,176,785.657692
488.5,245,785.950652
468.5,261,786.256833
513.0,206,786.50627
418.5,329,786.905645
566.5,139,787.131388
451.5,293,787.471198
413.5,341,789.467738
476.5,255,789.877105
441.0,316,790.209761
491.0,228,790.452863
522.5,193,790.649378
368.0,410,791.108243
471.5,265,791.435549
542.0,178,791.651144
502.5,217,791.91344
514.0,204,792.156349
339.5,433,792.667931
490.5,229,792.928297
399.0,370,794.874871
388.0,374,795.350436
517.0,204,795.590218
474.0,262,795.909852
518.5,207,796.148776
481.0,256,796.455427
488.0,244,796.741647
497.5,225,797.03066
456.5,281,798.911114
485.0,238,799.200631
504.0,214,799.46667
481.0,256,799.766217
549.0,154,799.959245
439.5,317,800.53374
511.5,207,800.764523
363.0,418,801.213523
455.0,298,801.549997
475.5,255,801.839395
502.0,214,802.103118
382.5,393,802.570725
478.0,258,802.877377
438.0,308,804.783002
553.0,150,804.957109
502.0,222,805.223284
427.5,325,805.611683
483.0,248,805.905436
501.0,228,806.171493
458.5,283,806.491129
408.0,332,808.456113
476.0,256,808.817016
531.5,189,809.043349
494.0,232,809.315901
435.0,310,809.681508
500.0,224,809.941677
419.5,333,810.347449
488.5,245,810.647004
546.0,170,812.686121
534.0,174,812.87639
474.0,266,813.175887
531.0,184,813.375437
507.0,222,813.618484
419.0,328,814.012838
513.0,208,814.267272
362.5,411,814.773063
511.0,212,815.127341
282.0,252,815.42758
486.0,256,815.727509
546.5,163,815.929989
432.5,329,817.850986
133.5,451,818.34357
475.0,258,818.643002
492.0,234,818.915712
423.5,325,819.29118
417.0,340,819.701296
475.0,262,820.013678
492.5,241,821.893312
486.5,245,822.186795
456.0,284,822.519597
468.0,268,823.05842
496.5,237,823.33417
426.0,320,823.690559
427.5,313,824.016792
364.5,399,824.42273
514.5,209,824.690576
418.5,331,825.071592
450.0,292,825.404312
386.5,375,827.450814
376.5,393,827.92581
439.0,308,828.28259
562.0,136,828.449287
456.5,289,828.798249
454.0,296,829.151284
464.5,275,829.481369
509.0,212,829.722906
421.0,334,831.671412
432.0,326,832.059288
477.5,261,832.375331
359.5,405,832.850331
-199.5,501,833.449696
479.0,262,833.799591
401.5,359,834.165628
310.0,214,834.388454
444.0,298,834.704565
392.0,376,835.103843
367.0,402,837.166887
480.5,269,837.499727
471.5,261,837.825422
454.5,287,838.1915
472.0,266,838.508029
538.0,180,838.723341
473.0,264,839.040467
395.5,375,841.010082
482.5,247,841.326231
358.5,415,841.808665
548.0,162,842.008346
487.0,256,842.324371
525.5,199,842.573981
359.0,414,843.092236
529.0,188,843.315967
498.5,235,845.162743
489.5,253,845.46887
492.0,238,845.743488
477.5,253,846.134228
527.5,193,846.344042
528.5,187,846.543734
473.5,259,846.816383
499.5,231,847.084701
443.5,309,847.465379
493.5,231,847.74808
478.0,256,848.064451
490.5,245,848.392502
426.0,326,848.781713
524.0,198,850.543155
540.0,176,850.766997
494.5,233,851.051818
514.0,212,851.308246
443.0,300,851.657847
453.0,294,852.024054
501.5,227,852.293875
494.0,236,852.573047
283.0,246,854.369862
475.0,250,854.658392
495.0,232,854.938972
521.5,195,855.171907
518.0,208,855.404926
472.0,268,855.719263
527.5,191,855.933785
461.5,285,856.436386
533.5,177,856.6259
453.0,290,856.948678
434.5,317,857.298069
499.5,231,857.547578
507.0,230,857.813733
419.5,323,859.760341
470.0,270,860.11708
456.5,285,860.458651
518.0,204,860.705659
516.5,207,860.950578
470.0,264,861.257703
437.0,322,861.649811
403.5,353,862.065921
402.5,359,864.052624
510.0,208,864.318673
477.0,258,864.639474
412.5,359,865.067672
510.5,215,865.327382
379.5,397,865.799673
468.0,264,866.13254
363.0,406,868.204168
324.5,459,868.797937
494.0,228,869.043977
439.5,305,869.386142
522.0,200,869.609617
383.0,388,870.025601
528.0,192,870.260481
428.0,336,870.667909
522.5,199,870.907407
394.5,387,871.356564
495.5,237,871.655884
